elapsed,label,threadName,bytes,sentBytes,grpThreads
35,HTTP Request Little 2KB,Thread Group 5 5-20,2308,122,20
197,HTTP Request Medium 3MB,Thread Group 5 5-16,3145994,122,20
729,HTTP Request Large 10MB,Thread Group 5 5-3,10486027,122,20
2086,HTTP Request Large 13MB,Thread Group 5 5-4,13631755,122,20
5,HTTP Request Little 3KB,Thread Group 5 5-4,3332,122,20
39,HTTP Request Medium 1MB,Thread Group 5 5-5,1048842,122,20
7,HTTP Request Little 2KB,Thread Group 5 5-15,2308,122,20
148,HTTP Request Medium 2MB,Thread Group 5 5-3,2097418,122,20
6,HTTP Request Little 1KB,Thread Group 5 5-18,1284,122,20
1098,HTTP Request Large 13MB,Thread Group 5 5-6,13631755,122,20
881,HTTP Request Large 13MB,Thread Group 5 5-13,13631755,122,20
8,HTTP Request Little 3KB,Thread Group 5 5-6,3332,122,20
635,HTTP Request Large 10MB,Thread Group 5 5-12,10486027,122,20
1555,HTTP Request Large 20MB,Thread Group 5 5-8,20971788,122,20
797,HTTP Request Large 13MB,Thread Group 5 5-9,13631755,122,20
9,HTTP Request Little 3KB,Thread Group 5 5-17,3332,122,20
152,HTTP Request Medium 1MB,Thread Group 5 5-14,1048842,122,20
181,HTTP Request Medium 2MB,Thread Group 5 5-20,2097418,122,20
893,HTTP Request Large 13MB,Thread Group 5 5-11,13631755,122,20
8,HTTP Request Little 1KB,Thread Group 5 5-11,1284,122,20
916,HTTP Request Large 13MB,Thread Group 5 5-7,13631755,122,20
1676,HTTP Request Large 16MB,Thread Group 5 5-10,16777484,122,20
226,HTTP Request Medium 2MB,Thread Group 5 5-5,2097418,122,20
8,HTTP Request Little 1KB,Thread Group 5 5-10,1284,122,20
839,HTTP Request Large 10MB,Thread Group 5 5-8,10486027,122,20
11,HTTP Request Little 1KB,Thread Group 5 5-8,1284,122,20
172,HTTP Request Medium 2MB,Thread Group 5 5-7,2097418,122,20
361,HTTP Request Medium 1MB,Thread Group 5 5-4,1048842,122,20
255,HTTP Request Medium 2MB,Thread Group 5 5-15,2097418,122,20
1495,HTTP Request Large 20MB,Thread Group 5 5-19,20971788,122,20
1615,HTTP Request Large 20MB,Thread Group 5 5-2,20971788,122,20
1,HTTP Request Little 3KB,Thread Group 5 5-2,3332,122,20
794,HTTP Request Large 10MB,Thread Group 5 5-9,10486027,122,20
861,HTTP Request Large 10MB,Thread Group 5 5-16,10486027,122,20
255,HTTP Request Medium 2MB,Thread Group 5 5-19,2097418,122,20
226,HTTP Request Medium 1MB,Thread Group 5 5-9,1048842,122,20
212,HTTP Request Medium 2MB,Thread Group 5 5-17,2097418,122,20
1229,HTTP Request Large 16MB,Thread Group 5 5-1,16777484,122,20
201,HTTP Request Medium 3MB,Thread Group 5 5-16,3145994,122,20
9,HTTP Request Little 2KB,Thread Group 5 5-5,2308,122,20
153,HTTP Request Medium 3MB,Thread Group 5 5-1,3145994,122,20
1386,HTTP Request Large 20MB,Thread Group 5 5-13,20971788,122,20
8,HTTP Request Little 3KB,Thread Group 5 5-11,3332,122,20
64,HTTP Request Medium 1MB,Thread Group 5 5-13,1048842,122,20
23,HTTP Request Little 1KB,Thread Group 5 5-15,1284,122,20
8,HTTP Request Little 1KB,Thread Group 5 5-7,1284,122,20
1358,HTTP Request Large 16MB,Thread Group 5 5-12,16777484,122,20
